,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
2022,4.0,-2.0,-8.0,-1.0,-8.0,-15.0,-8.0,-19.0,0.0,-9.0,3.0,3.0,4.0,-8.0,-104.0,-19.0,-18.0,-26.0,-9.0,-26.0,-1.0,7.0,68.0,23.0,15.0,29.0,-2.0,-7.0,-13.0,22.0,33.0,8.0,-6.0,19.0,17.0,12.0,8.0,-13.0,4.0,-5.0,-22.0,14.0,-3.0,3.0,6.0,7.0,5.0,10.0,49.0,9.0,3.0,6.0,-6.0,-11.0,-98.0,4.0,-24.0,12.0,-2.0,-6.0,-20.0,-26.0,-44.0,-27.0,0
1502,12.0,5.0,5.0,2.0,12.0,1.0,89.0,17.0,-18.0,-3.0,7.0,24.0,-11.0,-17.0,-120.0,-15.0,5.0,-8.0,-11.0,-28.0,-20.0,-11.0,76.0,-38.0,28.0,11.0,2.0,-6.0,25.0,47.0,125.0,59.0,-26.0,-8.0,-9.0,-4.0,1.0,7.0,41.0,1.0,36.0,5.0,1.0,13.0,-5.0,-16.0,-26.0,6.0,-12.0,-1.0,5.0,7.0,-7.0,-16.0,-106.0,-14.0,1.0,-7.0,-8.0,-18.0,-3.0,4.0,62.0,-6.0,0
950,18.0,-8.0,-6.0,-5.0,7.0,16.0,10.0,25.0,-6.0,4.0,-2.0,-1.0,4.0,-18.0,-19.0,-12.0,-13.0,0.0,-16.0,-3.0,-10.0,-16.0,-44.0,17.0,6.0,3.0,15.0,-1.0,8.0,19.0,59.0,-8.0,6.0,1.0,-7.0,-11.0,-10.0,-17.0,51.0,13.0,-10.0,1.0,1.0,8.0,-10.0,-15.0,-86.0,-30.0,-12.0,10.0,4.0,6.0,15.0,6.0,66.0,8.0,34.0,8.0,5.0,-10.0,17.0,51.0,92.0,45.0,0
1479,-1.0,-4.0,-6.0,-8.0,17.0,2.0,14.0,6.0,4.0,-1.0,-1.0,-3.0,4.0,5.0,-8.0,-14.0,-6.0,0.0,2.0,6.0,-16.0,-2.0,4.0,6.0,-7.0,-4.0,1.0,4.0,-14.0,-22.0,-127.0,-17.0,-41.0,-4.0,-3.0,-29.0,17.0,11.0,104.0,24.0,85.0,2.0,-3.0,5.0,-5.0,15.0,42.0,21.0,-11.0,0.0,2.0,5.0,11.0,8.0,9.0,-5.0,-8.0,0.0,-2.0,0.0,6.0,-4.0,-68.0,-5.0,0
2127,3.0,11.0,1.0,-5.0,4.0,-11.0,-1.0,2.0,-8.0,-21.0,-10.0,-3.0,-3.0,-7.0,-23.0,-20.0,6.0,7.0,9.0,3.0,-3.0,17.0,-2.0,5.0,-28.0,2.0,3.0,-3.0,-5.0,2.0,16.0,11.0,25.0,2.0,-3.0,12.0,24.0,-20.0,34.0,12.0,41.0,-5.0,-8.0,-13.0,2.0,30.0,13.0,1.0,-4.0,-7.0,8.0,-6.0,-7.0,6.0,-14.0,3.0,-7.0,-3.0,-1.0,-5.0,-6.0,-15.0,11.0,0.0,0
178,-2.0,-3.0,-1.0,2.0,3.0,-9.0,25.0,-27.0,2.0,1.0,7.0,10.0,4.0,0.0,8.0,13.0,1.0,-2.0,0.0,-6.0,6.0,6.0,6.0,-4.0,-13.0,-5.0,-3.0,3.0,-4.0,1.0,22.0,17.0,-12.0,-2.0,-2.0,-12.0,-6.0,2.0,-63.0,-27.0,5.0,-2.0,-1.0,6.0,-17.0,-13.0,12.0,-2.0,16.0,2.0,-2.0,-5.0,10.0,5.0,25.0,4.0,-21.0,-5.0,-6.0,-9.0,-5.0,-9.0,-19.0,5.0,0
2846,-5.0,-5.0,-7.0,3.0,1.0,-12.0,-35.0,-20.0,3.0,0.0,2.0,-19.0,-14.0,-14.0,-82.0,8.0,5.0,1.0,0.0,7.0,9.0,13.0,89.0,12.0,-6.0,-1.0,-2.0,-3.0,9.0,6.0,27.0,6.0,14.0,3.0,0.0,4.0,4.0,21.0,1.0,6.0,-19.0,-4.0,-2.0,8.0,-4.0,-6.0,10.0,-2.0,4.0,-2.0,-2.0,1.0,1.0,-11.0,-71.0,-8.0,2.0,4.0,7.0,6.0,-4.0,-6.0,29.0,-6.0,0
85,26.0,3.0,-1.0,-1.0,-22.0,-7.0,50.0,0.0,12.0,2.0,6.0,19.0,9.0,3.0,26.0,24.0,-23.0,-1.0,-8.0,-28.0,12.0,2.0,-37.0,-29.0,18.0,2.0,-2.0,-1.0,-7.0,19.0,82.0,53.0,-14.0,-3.0,0.0,9.0,0.0,-9.0,-47.0,1.0,-1.0,3.0,3.0,-1.0,7.0,7.0,5.0,-19.0,-8.0,-1.0,1.0,1.0,1.0,1.0,18.0,6.0,-4.0,-1.0,-1.0,2.0,-6.0,-6.0,-6.0,-3.0,0
2737,-6.0,-3.0,-5.0,-4.0,-7.0,14.0,53.0,10.0,3.0,-2.0,0.0,3.0,6.0,-7.0,4.0,-2.0,-9.0,2.0,3.0,-1.0,1.0,24.0,29.0,7.0,8.0,-1.0,-1.0,-3.0,-9.0,-27.0,-40.0,-2.0,-8.0,-1.0,-1.0,-5.0,-8.0,-12.0,-45.0,-18.0,-2.0,0.0,2.0,1.0,1.0,2.0,34.0,6.0,0.0,1.0,-1.0,10.0,16.0,-7.0,-10.0,9.0,7.0,-1.0,-3.0,-2.0,-5.0,-1.0,-89.0,-28.0,0
773,-13.0,4.0,2.0,0.0,1.0,8.0,33.0,6.0,39.0,19.0,4.0,7.0,-7.0,5.0,9.0,7.0,-51.0,-6.0,-3.0,-1.0,16.0,14.0,24.0,12.0,30.0,-11.0,-7.0,-26.0,0.0,3.0,42.0,18.0,6.0,1.0,2.0,-1.0,-5.0,25.0,17.0,-7.0,-43.0,37.0,-11.0,11.0,4.0,-8.0,-36.0,-20.0,18.0,-18.0,14.0,9.0,1.0,1.0,-73.0,15.0,23.0,-4.0,-1.0,0.0,8.0,-22.0,21.0,-8.0,0
1669,-8.0,-1.0,1.0,10.0,-10.0,-8.0,-14.0,-15.0,-17.0,-5.0,-1.0,4.0,27.0,1.0,-20.0,-7.0,14.0,-1.0,-1.0,-6.0,-10.0,-1.0,26.0,8.0,-10.0,-1.0,0.0,-1.0,-3.0,2.0,-13.0,4.0,9.0,4.0,2.0,-2.0,8.0,-4.0,10.0,-9.0,1.0,-1.0,-1.0,5.0,-24.0,1.0,-30.0,-12.0,-25.0,-2.0,-1.0,3.0,10.0,-5.0,14.0,12.0,6.0,0.0,1.0,5.0,19.0,8.0,24.0,0.0,0
17,-84.0,-7.0,0.0,4.0,-12.0,-39.0,27.0,-20.0,79.0,2.0,-6.0,-16.0,0.0,6.0,46.0,26.0,-2.0,-5.0,-9.0,-9.0,2.0,-4.0,-65.0,14.0,-11.0,0.0,2.0,8.0,4.0,15.0,17.0,16.0,-11.0,-8.0,-1.0,11.0,-10.0,-56.0,-118.0,-50.0,-21.0,-1.0,-4.0,-21.0,-27.0,4.0,97.0,27.0,3.0,1.0,-1.0,-6.0,30.0,10.0,41.0,22.0,-5.0,-2.0,-4.0,-1.0,-7.0,0.0,-55.0,4.0,0
1028,-72.0,-10.0,6.0,-1.0,5.0,12.0,9.0,-18.0,88.0,4.0,-9.0,-3.0,12.0,-26.0,-15.0,37.0,-6.0,1.0,3.0,4.0,-10.0,28.0,123.0,38.0,15.0,-3.0,-3.0,6.0,10.0,-5.0,-14.0,12.0,-7.0,18.0,-9.0,-10.0,0.0,-1.0,3.0,-10.0,-22.0,-39.0,4.0,-8.0,-7.0,6.0,-36.0,-28.0,0.0,15.0,-1.0,-3.0,-8.0,-21.0,-50.0,-13.0,-3.0,-10.0,0.0,7.0,5.0,-6.0,47.0,23.0,0
905,-13.0,-12.0,2.0,9.0,-5.0,-42.0,-64.0,-21.0,-9.0,9.0,4.0,-4.0,-19.0,15.0,14.0,-31.0,22.0,-12.0,-1.0,4.0,32.0,30.0,-19.0,39.0,-14.0,12.0,-5.0,6.0,-2.0,-19.0,-35.0,-24.0,10.0,-6.0,-4.0,0.0,6.0,10.0,9.0,12.0,-2.0,10.0,10.0,15.0,-1.0,-26.0,-38.0,22.0,-48.0,-5.0,7.0,1.0,-7.0,6.0,-75.0,-36.0,-22.0,17.0,0.0,1.0,-3.0,-9.0,-2.0,-68.0,0
212,-13.0,0.0,-1.0,0.0,-3.0,2.0,18.0,14.0,13.0,1.0,3.0,5.0,12.0,11.0,-4.0,17.0,-12.0,2.0,3.0,9.0,-14.0,-17.0,-39.0,-19.0,-16.0,-4.0,0.0,-8.0,3.0,-2.0,10.0,-1.0,11.0,2.0,-2.0,-12.0,-9.0,8.0,56.0,27.0,29.0,0.0,2.0,8.0,15.0,0.0,28.0,1.0,24.0,-6.0,-8.0,-9.0,-7.0,12.0,-7.0,-9.0,12.0,2.0,0.0,5.0,5.0,2.0,11.0,14.0,0
920,83.0,8.0,-6.0,-13.0,13.0,-41.0,-38.0,-21.0,7.0,12.0,-5.0,-5.0,-16.0,37.0,3.0,27.0,42.0,-19.0,1.0,9.0,15.0,69.0,56.0,39.0,4.0,6.0,-1.0,-15.0,7.0,30.0,14.0,-2.0,-32.0,-4.0,0.0,5.0,-19.0,-21.0,-20.0,-3.0,-5.0,1.0,1.0,0.0,1.0,-39.0,-57.0,-20.0,-8.0,3.0,-1.0,3.0,3.0,-12.0,-7.0,-8.0,6.0,-3.0,-2.0,7.0,-7.0,-3.0,-7.0,-9.0,0
1214,94.0,11.0,6.0,6.0,-11.0,7.0,67.0,20.0,13.0,-6.0,3.0,3.0,14.0,37.0,-26.0,-11.0,-14.0,1.0,-5.0,-8.0,-12.0,-15.0,50.0,-7.0,0.0,1.0,0.0,4.0,-12.0,-5.0,-50.0,-5.0,-20.0,-7.0,1.0,-5.0,12.0,-13.0,-7.0,17.0,13.0,-3.0,-12.0,-3.0,4.0,7.0,30.0,-1.0,-4.0,-4.0,1.0,-9.0,-7.0,-4.0,-15.0,14.0,-5.0,-3.0,-5.0,-6.0,3.0,-1.0,-33.0,-20.0,0
1485,93.0,1.0,-11.0,-25.0,34.0,20.0,127.0,-20.0,25.0,8.0,-1.0,1.0,5.0,32.0,86.0,83.0,-43.0,-4.0,0.0,-4.0,-19.0,-5.0,-82.0,-37.0,-11.0,2.0,8.0,19.0,-16.0,-39.0,36.0,33.0,-44.0,-7.0,-5.0,-16.0,5.0,11.0,-61.0,5.0,70.0,5.0,1.0,3.0,-10.0,-25.0,9.0,-50.0,-31.0,-7.0,-7.0,-12.0,27.0,38.0,106.0,32.0,15.0,-1.0,-5.0,-12.0,-12.0,10.0,-88.0,-49.0,0
